Store,Month,Day,Slot,Estimated Cleaning Time (minutes),Frequency
1292,1,Wednesday,4 hours,83,Quarterly
1218,1,Wednesday,4 hours,65,Bi-monthly
1561,1,Thursday,4 hours,94,Monthly
1662,1,Thursday,4 hours,91,Bi-monthly
1754,1,Friday,4 hours,130,Bi-monthly
485,1,Monday,4 hours,176,Monthly
1844,1,Tuesday,4 hours,129,Monthly
749,1,Tuesday,4 hours,94,Monthly
1402,1,Wednesday,4 hours,62,Bi-monthly
390,1,Wednesday,4 hours,58,Bi-monthly
929,1,Wednesday,4 hours,56,Quarterly
1091,1,Wednesday,4 hours,64,Bi-monthly
397,1,Thursday,4 hours,85,Bi-monthly
1893,1,Thursday,4 hours,132,Bi-monthly
1857,1,Friday,4 hours,83,Bi-monthly
629,1,Friday,4 hours,100,Bi-monthly
467,1,Monday,4 hours,82,Bi-monthly
690,1,Monday,4 hours,148,Monthly
1376,1,Tuesday,4 hours,365,Monthly
1381,1,Wednesday,4 hours,34,Bi-monthly
1679,1,Wednesday,4 hours,60,Quarterly
122,1,Wednesday,4 hours,100,Bi-monthly
1902,1,Thursday,4 hours,164,Quarterly
1608,1,Thursday,4 hours,65,Quarterly
625,1,Friday,4 hours,84,Bi-monthly
1892,1,Friday,4 hours,58,Bi-monthly
1003,1,Friday,4 hours,85,Quarterly
2073,1,Monday,4 hours,155,Quarterly
1409,1,Monday,4 hours,35,Bi-monthly
1685,1,Monday,4 hours,35,Quarterly
555,1,Tuesday,4 hours,123,Bi-monthly
1148,1,Wednesday,4 hours,155,Monthly
502,1,Thursday,4 hours,117,Bi-monthly
1245,1,Thursday,4 hours,96,Bi-monthly
1720,1,Friday,4 hours,172,Bi-monthly
1299,1,Monday,4 hours,170,Monthly
1213,1,Tuesday,4 hours,71,Bi-monthly
403,1,Tuesday,4 hours,164,Monthly
80,1,Wednesday,4 hours,184,Bi-monthly
1750,1,Thursday,4 hours,258,Bi-monthly
1847,1,Friday,4 hours,96,Quarterly
349,1,Friday,4 hours,105,Quarterly
573,1,Monday,4 hours,91,Bi-monthly
1231,1,Monday,4 hours,39,Quarterly
935,1,Monday,4 hours,70,Bi-monthly
38,1,Tuesday,4 hours,87,Quarterly
1439,1,Tuesday,4 hours,76,Quarterly
1368,1,Wednesday,4 hours,88,Bi-monthly
1870,1,Wednesday,4 hours,119,Quarterly
1529,1,Thursday,4 hours,116,Bi-monthly
768,1,Friday,4 hours,247,Monthly
1246,1,Monday,4 hours,126,Bi-monthly
1768,1,Tuesday,4 hours,135,Quarterly
1132,1,Wednesday,4 hours,152,Monthly
1977,1,Wednesday,4 hours,40,Monthly
1645,1,Thursday,4 hours,87,Quarterly
1016,1,Thursday,4 hours,149,Bi-monthly
545,1,Friday,4 hours,196,Bi-monthly
1467,1,Monday,4 hours,159,Monthly
1719,1,Tuesday,4 hours,187,Quarterly
448,1,Wednesday,4 hours,108,Quarterly
739,1,Thursday,4 hours,138,Quarterly
471,1,Thursday,4 hours,67,Bi-monthly
1859,1,Friday,4 hours,57,Bi-monthly
1923,1,Friday,4 hours,94,Bi-monthly
1243,1,Monday,4 hours,144,Bi-monthly
1007,1,Tuesday,4 hours,117,Quarterly
826,1,Tuesday,4 hours,107,Bi-monthly
2026,1,Wednesday,4 hours,83,Bi-monthly
592,1,Wednesday,4 hours,94,Quarterly
523,1,Thursday,4 hours,72,Quarterly
1463,1,Thursday,4 hours,94,Monthly
1654,1,Thursday,4 hours,74,Quarterly
1715,1,Friday,4 hours,92,Bi-monthly
386,1,Monday,4 hours,211,Monthly
1504,1,Tuesday,4 hours,82,Bi-monthly
1353,1,Tuesday,4 hours,126,Quarterly
1506,1,Wednesday,4 hours,101,Bi-monthly
550,1,Wednesday,4 hours,80,Quarterly
1833,1,Thursday,4 hours,156,Bi-monthly
921,1,Friday,4 hours,116,Bi-monthly
1863,1,Friday,4 hours,64,Bi-monthly
568,1,Monday,4 hours,142,Quarterly
1472,1,Monday,4 hours,95,Bi-monthly
1164,1,Tuesday,4 hours,202,Monthly
1845,1,Wednesday,4 hours,105,Quarterly
1922,1,Thursday,4 hours,289,Monthly
805,1,Friday,4 hours,75,Monthly
1333,1,Friday,4 hours,96,Quarterly
13,1,Monday,4 hours,125,Bi-monthly
1589,1,Tuesday,4 hours,203,Bi-monthly
703,1,Wednesday,4 hours,80,Quarterly
832,1,Wednesday,4 hours,76,Quarterly
1516,1,Thursday,4 hours,196,Bi-monthly
818,1,Friday,4 hours,137,Quarterly
1383,1,Friday,4 hours,96,Bi-monthly
1526,1,Monday,4 hours,46,Quarterly
978,1,Monday,4 hours,126,Bi-monthly
324,1,Tuesday,4 hours,107,Bi-monthly
428,1,Tuesday,4 hours,47,Bi-monthly
516,1,Wednesday,4 hours,100,Quarterly
1352,1,Thursday,4 hours,172,Bi-monthly
1364,1,Friday,4 hours,145,Bi-monthly
113,1,Friday,4 hours,86,Quarterly
1096,1,Monday,4 hours,85,Bi-monthly
1458,1,Monday,4 hours,127,Bi-monthly
1515,1,Tuesday,4 hours,109,Bi-monthly
139,1,Tuesday,4 hours,88,Quarterly
1629,1,Wednesday,4 hours,127,Quarterly
687,1,Wednesday,4 hours,77,Quarterly
1452,1,Thursday,4 hours,127,Bi-monthly
1969,1,Friday,4 hours,121,Monthly
781,1,Friday,4 hours,88,Bi-monthly
1900,1,Monday,4 hours,335,Monthly
117,1,Tuesday,4 hours,74,Quarterly
2035,1,Tuesday,4 hours,115,Quarterly
1766,1,Wednesday,4 hours,297,Bi-monthly
719,1,Thursday,4 hours,89,Bi-monthly
1389,1,Thursday,4 hours,123,Bi-monthly
513,1,Friday,4 hours,130,Quarterly
1499,1,Friday,4 hours,88,Bi-monthly
1067,1,Monday,4 hours,89,Bi-monthly
1737,1,Monday,4 hours,87,Bi-monthly
1838,1,Tuesday,4 hours,156,Bi-monthly
577,1,Wednesday,4 hours,150,Monthly
496,1,Thursday,4 hours,107,Quarterly
1427,1,Thursday,4 hours,119,Quarterly
683,1,Friday,4 hours,121,Quarterly
518,1,Monday,4 hours,173,Bi-monthly
1713,1,Tuesday,4 hours,225,Monthly
840,1,Wednesday,4 hours,112,Bi-monthly
542,1,Thursday,4 hours,139,Bi-monthly
1907,1,Friday,4 hours,193,Monthly
282,1,Monday,4 hours,125,Quarterly
1556,1,Monday,4 hours,87,Quarterly
1337,1,Tuesday,4 hours,93,Quarterly
1426,1,Tuesday,4 hours,132,Quarterly
702,1,Wednesday,4 hours,101,Bi-monthly
2136,1,Thursday,4 hours,174,Bi-monthly
1327,1,Friday,4 hours,121,Bi-monthly
1761,1,Friday,4 hours,93,Bi-monthly
1607,1,Monday,4 hours,117,Bi-monthly
1279,1,Tuesday,4 hours,152,Bi-monthly
1525,1,Wednesday,4 hours,129,Monthly
1090,1,Thursday,4 hours,128,Bi-monthly
1078,1,Thursday,4 hours,78,Bi-monthly
1056,1,Friday,4 hours,93,Quarterly
1006,1,Friday,4 hours,98,Quarterly
1152,1,Monday,4 hours,165,Bi-monthly
1242,1,Tuesday,4 hours,150,Bi-monthly
476,1,Tuesday,4 hours,89,Quarterly
1486,1,Wednesday,4 hours,149,Monthly
1194,1,Thursday,4 hours,120,Bi-monthly
1150,1,Friday,4 hours,132,Bi-monthly
1248,1,Monday,4 hours,184,Bi-monthly
416,1,Tuesday,4 hours,98,Quarterly
1895,1,Tuesday,4 hours,114,Quarterly
1278,1,Wednesday,4 hours,137,Quarterly
1726,1,Wednesday,4 hours,92,Bi-monthly
305,1,Thursday,4 hours,164,Bi-monthly
1258,1,Friday,4 hours,210,Bi-monthly
1444,1,Monday,4 hours,55,Monthly
1682,1,Monday,4 hours,149,Monthly
751,1,Tuesday,4 hours,125,Bi-monthly
2049,1,Tuesday,4 hours,101,Quarterly
162,1,Wednesday,4 hours,99,Quarterly
1312,1,Wednesday,4 hours,124,Quarterly
584,1,Thursday,4 hours,138,Bi-monthly
1885,1,Friday,4 hours,163,Bi-monthly
1488,1,Monday,4 hours,136,Monthly
1912,1,Tuesday,4 hours,118,Bi-monthly
333,1,Wednesday,4 hours,158,Monthly
817,1,Thursday,4 hours,119,Bi-monthly
972,1,Thursday,4 hours,89,Bi-monthly
1882,1,Friday,4 hours,89,Bi-monthly
1335,1,Friday,4 hours,125,Bi-monthly
1594,1,Monday,4 hours,83,Bi-monthly
685,1,Monday,4 hours,141,Bi-monthly
1894,1,Tuesday,4 hours,140,Bi-monthly
603,1,Wednesday,4 hours,143,Bi-monthly
1369,1,Thursday,4 hours,108,Bi-monthly
1371,1,Thursday,4 hours,103,Quarterly
1117,1,Friday,4 hours,83,Quarterly
1796,1,Friday,4 hours,141,Bi-monthly
1702,1,Monday,4 hours,81,Monthly
556,1,Monday,4 hours,128,Bi-monthly
1151,1,Tuesday,4 hours,133,Bi-monthly
1020,1,Wednesday,4 hours,112,Quarterly
1393,1,Wednesday,4 hours,110,Bi-monthly
1906,1,Thursday,4 hours,141,Bi-monthly
2148,1,Friday,4 hours,132,Bi-monthly
733,1,Monday,4 hours,228,Bi-monthly
1966,1,Tuesday,4 hours,83,Bi-monthly
2018,1,Wednesday,4 hours,179,Bi-monthly
1660,1,Thursday,4 hours,121,Bi-monthly
1508,1,Friday,4 hours,126,Quarterly
1533,1,Monday,4 hours,155,Bi-monthly
2057,1,Tuesday,4 hours,105,Bi-monthly
334,1,Tuesday,4 hours,120,Bi-monthly
1468,1,Wednesday,4 hours,85,Quarterly
1752,1,Wednesday,4 hours,132,Bi-monthly
1521,1,Thursday,4 hours,174,Quarterly
10,1,Friday,4 hours,220,Monthly
581,1,Monday,4 hours,110,Quarterly
779,1,Monday,4 hours,105,Bi-monthly
1483,1,Tuesday,4 hours,85,Bi-monthly
1888,1,Wednesday,4 hours,163,Bi-monthly
2042,1,Thursday,4 hours,164,Bi-monthly
1517,1,Friday,4 hours,128,Bi-monthly
1574,1,Monday,4 hours,168,Bi-monthly
630,1,Tuesday,4 hours,106,Bi-monthly
1160,1,Tuesday,4 hours,132,Bi-monthly
1442,1,Wednesday,4 hours,115,Bi-monthly
1177,1,Thursday,4 hours,137,Quarterly
1784,1,Thursday,4 hours,102,Quarterly
1237,1,Friday,4 hours,140,Bi-monthly
970,1,Monday,4 hours,145,Quarterly
1440,1,Tuesday,4 hours,138,Bi-monthly
1576,1,Wednesday,4 hours,142,Bi-monthly
169,1,Thursday,4 hours,128,Bi-monthly
561,1,Friday,4 hours,125,Bi-monthly
933,1,Monday,4 hours,233,Monthly
1548,1,Tuesday,4 hours,173,Monthly
1615,1,Wednesday,4 hours,163,Bi-monthly
1612,1,Thursday,4 hours,117,Quarterly
414,1,Thursday,4 hours,107,Bi-monthly
539,1,Friday,4 hours,147,Bi-monthly
1001,1,Monday,4 hours,158,Quarterly
837,1,Tuesday,4 hours,101,Quarterly
1511,1,Tuesday,4 hours,117,Bi-monthly
1550,1,Wednesday,4 hours,142,Quarterly
1664,1,Thursday,4 hours,110,Bi-monthly
1433,1,Friday,4 hours,141,Bi-monthly
1688,1,Monday,4 hours,219,Bi-monthly
1760,1,Tuesday,4 hours,111,Bi-monthly
1803,1,Tuesday,4 hours,101,Quarterly
1436,1,Wednesday,4 hours,178,Quarterly
1580,1,Thursday,4 hours,131,Bi-monthly
1666,1,Friday,4 hours,133,Bi-monthly
482,1,Friday,4 hours,102,Bi-monthly
1834,1,Monday,4 hours,120,Bi-monthly
2030,1,Tuesday,4 hours,224,Quarterly
965,1,Wednesday,4 hours,213,Bi-monthly
1247,1,Thursday,4 hours,139,Quarterly
1270,1,Friday,4 hours,132,Bi-monthly
308,1,Monday,4 hours,115,Monthly
671,1,Tuesday,4 hours,151,Monthly
1461,1,Wednesday,4 hours,198,Monthly
1373,1,Thursday,4 hours,190,Quarterly
1424,1,Friday,4 hours,150,Bi-monthly
1676,1,Monday,4 hours,132,Quarterly
1926,1,Tuesday,4 hours,112,Quarterly
461,1,Wednesday,4 hours,163,Bi-monthly
691,1,Thursday,4 hours,155,Quarterly
362,1,Friday,4 hours,132,Quarterly
1144,1,Monday,4 hours,163,Bi-monthly
1367,1,Tuesday,4 hours,125,Monthly
1821,1,Wednesday,4 hours,157,Quarterly
1114,1,Thursday,4 hours,98,Quarterly
664,1,Friday,4 hours,196,Monthly
825,1,Monday,4 hours,143,Bi-monthly
1791,1,Tuesday,4 hours,284,Monthly
952,1,Wednesday,4 hours,108,Quarterly
396,1,Thursday,4 hours,256,Monthly
1459,1,Friday,4 hours,138,Quarterly
1052,1,Friday,4 hours,98,Bi-monthly
1106,1,Monday,4 hours,279,Bi-monthly
1382,1,Tuesday,4 hours,104,Quarterly
1505,1,Wednesday,4 hours,163,Bi-monthly
2037,1,Thursday,4 hours,214,Bi-monthly
321,1,Friday,4 hours,119,Quarterly
1112,1,Monday,4 hours,122,Quarterly
774,1,Tuesday,4 hours,140,Quarterly
1334,1,Wednesday,4 hours,103,Quarterly
1641,1,Wednesday,4 hours,131,Bi-monthly
521,1,Thursday,4 hours,191,Monthly
1708,1,Friday,4 hours,240,Bi-monthly
1862,1,Monday,4 hours,124,Bi-monthly
835,1,Tuesday,4 hours,134,Bi-monthly
1908,1,Wednesday,4 hours,147,Bi-monthly
1217,1,Thursday,4 hours,139,Quarterly
1739,1,Friday,4 hours,122,Quarterly
1390,1,Monday,4 hours,120,Quarterly
1445,1,Tuesday,4 hours,157,Bi-monthly
1952,1,Wednesday,4 hours,119,Quarterly
279,1,Wednesday,4 hours,108,Monthly
1496,1,Thursday,4 hours,124,Quarterly
1636,1,Friday,4 hours,120,Quarterly
1982,1,Friday,4 hours,88,Bi-monthly
67,1,Monday,4 hours,150,Quarterly
1554,1,Tuesday,4 hours,261,Monthly
1208,1,Wednesday,4 hours,125,Bi-monthly
1161,1,Thursday,4 hours,125,Bi-monthly
1400,1,Friday,4 hours,127,Bi-monthly
1199,1,Monday,4 hours,121,Quarterly
422,1,Monday,4 hours,111,Bi-monthly
399,1,Tuesday,4 hours,141,Bi-monthly
2065,1,Wednesday,4 hours,348,Bi-monthly
981,1,Thursday,4 hours,106,Monthly
1019,1,Friday,4 hours,147,Quarterly
1087,1,Monday,4 hours,126,Bi-monthly
1867,1,Tuesday,4 hours,121,Bi-monthly
575,1,Wednesday,4 hours,181,Bi-monthly
731,1,Thursday,4 hours,130,Bi-monthly
1798,1,Thursday,4 hours,85,Quarterly
1415,1,Friday,4 hours,140,Bi-monthly
2061,1,Monday,4 hours,136,Monthly
1351,1,Tuesday,4 hours,128,Quarterly
868,1,Wednesday,4 hours,320,Monthly
1391,1,Thursday,4 hours,124,Bi-monthly
1610,1,Friday,4 hours,141,Bi-monthly
1956,1,Monday,4 hours,286,Bi-monthly
1987,1,Tuesday,4 hours,172,Quarterly
1421,1,Wednesday,4 hours,130,Quarterly
1933,1,Thursday,4 hours,132,Bi-monthly
412,1,Friday,4 hours,137,Bi-monthly
1221,1,Monday,4 hours,159,Monthly
1060,1,Tuesday,4 hours,130,Quarterly
1773,1,Tuesday,4 hours,100,Quarterly
1658,1,Wednesday,4 hours,119,Quarterly
1293,1,Thursday,4 hours,141,Bi-monthly
295,1,Friday,4 hours,109,Quarterly
427,1,Monday,4 hours,133,Quarterly
1261,1,Tuesday,4 hours,154,Quarterly
1968,1,Wednesday,4 hours,123,Quarterly
1360,1,Thursday,4 hours,134,Quarterly
1930,1,Friday,4 hours,110,Bi-monthly
1909,1,Monday,4 hours,181,Monthly
1996,1,Tuesday,4 hours,139,Quarterly
1872,1,Wednesday,4 hours,232,Monthly
1928,1,Thursday,4 hours,186,Bi-monthly
677,1,Friday,4 hours,95,Quarterly
1765,1,Monday,4 hours,220,Bi-monthly
358,1,Tuesday,4 hours,95,Quarterly
1416,1,Tuesday,4 hours,117,Bi-monthly
1794,1,Wednesday,4 hours,145,Bi-monthly
790,1,Thursday,4 hours,122,Bi-monthly
1223,1,Friday,4 hours,146,Bi-monthly
1494,1,Monday,4 hours,142,Quarterly
1782,1,Tuesday,4 hours,168,Quarterly
1259,1,Wednesday,4 hours,120,Quarterly
706,1,Thursday,4 hours,156,Quarterly
1002,1,Friday,4 hours,142,Quarterly
1623,1,Monday,4 hours,222,Bi-monthly
58,1,Tuesday,4 hours,283,Bi-monthly
1036,1,Wednesday,4 hours,146,Monthly
652,1,Thursday,4 hours,206,Monthly
1366,1,Friday,4 hours,189,Bi-monthly
1787,1,Monday,4 hours,198,Monthly
1317,1,Tuesday,4 hours,138,Bi-monthly
1644,1,Wednesday,4 hours,151,Bi-monthly
730,1,Thursday,4 hours,126,Bi-monthly
1918,1,Friday,4 hours,185,Quarterly
2007,1,Monday,4 hours,147,Monthly
741,1,Tuesday,4 hours,129,Quarterly
1394,1,Wednesday,4 hours,143,Bi-monthly
696,1,Thursday,4 hours,115,Quarterly
1681,1,Friday,4 hours,170,Quarterly
2088,1,Monday,4 hours,173,Bi-monthly
2012,1,Tuesday,4 hours,149,Quarterly
1734,1,Wednesday,4 hours,106,Quarterly
1949,1,Wednesday,4 hours,126,Bi-monthly
2015,1,Thursday,4 hours,155,Quarterly
1220,1,Friday,4 hours,114,Quarterly
1294,1,Friday,4 hours,106,Bi-monthly
281,1,Monday,4 hours,139,Quarterly
1914,1,Tuesday,4 hours,168,Bi-monthly
587,1,Wednesday,4 hours,139,Bi-monthly
1881,1,Thursday,4 hours,156,Monthly
1957,1,Friday,4 hours,281,Bi-monthly
161,1,Monday,4 hours,124,Bi-monthly
958,1,Tuesday,4 hours,144,Quarterly
1322,1,Wednesday,4 hours,137,Bi-monthly
1725,1,Thursday,4 hours,177,Bi-monthly
1938,1,Friday,4 hours,178,Bi-monthly
1297,1,Monday,4 hours,118,Quarterly
1405,1,Tuesday,4 hours,125,Quarterly
827,1,Wednesday,4 hours,197,Monthly
1913,1,Thursday,4 hours,207,Bi-monthly
1028,1,Friday,4 hours,121,Quarterly
1873,1,Monday,4 hours,201,Bi-monthly
1883,1,Tuesday,4 hours,120,Bi-monthly
1932,1,Wednesday,4 hours,122,Quarterly
1110,1,Thursday,4 hours,155,Bi-monthly
1185,1,Friday,4 hours,137,Bi-monthly
1777,1,Monday,4 hours,194,Bi-monthly
350,1,Tuesday,4 hours,124,Bi-monthly
173,1,Wednesday,4 hours,162,Quarterly
481,1,Thursday,4 hours,132,Bi-monthly
1311,1,Friday,4 hours,146,Quarterly
844,1,Monday,4 hours,121,Quarterly
602,1,Tuesday,4 hours,189,Monthly
877,1,Wednesday,4 hours,245,Monthly
1407,1,Thursday,4 hours,112,Quarterly
203,1,Thursday,4 hours,110,Bi-monthly
1064,1,Friday,4 hours,124,Bi-monthly
1254,1,Friday,4 hours,116,Quarterly
1413,1,Monday,4 hours,118,Quarterly
1755,1,Monday,4 hours,119,Bi-monthly
578,1,Tuesday,4 hours,233,Quarterly
1509,1,Wednesday,4 hours,211,Quarterly
1701,1,Thursday,4 hours,231,Bi-monthly
2032,1,Friday,4 hours,130,Quarterly
1301,1,Friday,4 hours,106,Quarterly
1963,1,Monday,4 hours,119,Quarterly
1084,1,Tuesday,4 hours,148,Quarterly
424,1,Wednesday,4 hours,138,Quarterly
1565,1,Thursday,4 hours,117,Bi-monthly
1490,1,Thursday,4 hours,114,Quarterly
534,1,Friday,4 hours,132,Bi-monthly
1897,1,Monday,4 hours,144,Bi-monthly
1849,1,Tuesday,4 hours,160,Bi-monthly
1716,1,Wednesday,4 hours,200,Quarterly
1233,1,Thursday,4 hours,183,Bi-monthly
1406,1,Friday,4 hours,133,Quarterly
1158,1,Monday,4 hours,125,Quarterly
1040,1,Tuesday,4 hours,124,Quarterly
1128,1,Wednesday,4 hours,139,Bi-monthly
1625,1,Thursday,4 hours,134,Quarterly
1626,1,Friday,4 hours,150,Bi-monthly
1179,1,Monday,4 hours,196,Bi-monthly
1624,1,Tuesday,4 hours,135,Bi-monthly
1234,1,Wednesday,4 hours,116,Bi-monthly
1878,1,Thursday,4 hours,130,Quarterly
1946,1,Friday,4 hours,233,Bi-monthly
1628,1,Monday,4 hours,157,Bi-monthly
871,1,Tuesday,4 hours,129,Quarterly
1602,1,Tuesday,4 hours,95,Bi-monthly
1802,1,Wednesday,4 hours,161,Quarterly
2059,1,Thursday,4 hours,139,Bi-monthly
34,1,Friday,4 hours,158,Monthly
969,1,Monday,4 hours,112,Quarterly
275,1,Tuesday,4 hours,270,Monthly
1343,1,Wednesday,4 hours,127,Bi-monthly
1026,1,Thursday,4 hours,149,Bi-monthly
1346,1,Friday,4 hours,141,Quarterly
1032,1,Monday,4 hours,243,Bi-monthly
1408,1,Tuesday,4 hours,150,Bi-monthly
1648,1,Wednesday,4 hours,114,Bi-monthly
533,1,Wednesday,4 hours,79,Monthly
729,1,Thursday,4 hours,130,Bi-monthly
1063,1,Friday,4 hours,175,Monthly
756,1,Monday,4 hours,234,Monthly
2060,1,Tuesday,4 hours,145,Bi-monthly
1422,1,Wednesday,4 hours,162,Bi-monthly
420,1,Thursday,4 hours,164,Quarterly
454,1,Friday,4 hours,116,Quarterly
1665,1,Monday,4 hours,208,Bi-monthly
1462,1,Tuesday,4 hours,156,Bi-monthly
1727,1,Wednesday,4 hours,167,Quarterly
1079,1,Thursday,4 hours,127,Quarterly
1729,1,Friday,4 hours,264,Bi-monthly
1135,1,Monday,4 hours,118,Quarterly
1349,1,Monday,4 hours,116,Quarterly
1370,1,Tuesday,4 hours,142,Quarterly
1675,1,Wednesday,4 hours,210,Bi-monthly
419,1,Thursday,4 hours,152,Quarterly
1162,1,Friday,4 hours,205,Quarterly
280,1,Monday,4 hours,112,Quarterly
1546,1,Tuesday,4 hours,130,Bi-monthly
821,1,Wednesday,4 hours,206,Monthly
1640,1,Thursday,4 hours,148,Bi-monthly
570,1,Friday,4 hours,311,Monthly
564,1,Monday,4 hours,212,Monthly
1357,1,Tuesday,4 hours,107,Bi-monthly
1157,1,Wednesday,4 hours,218,Quarterly
1476,1,Thursday,4 hours,119,Bi-monthly
1904,1,Friday,4 hours,206,Bi-monthly
1805,1,Monday,4 hours,158,Quarterly
1605,1,Tuesday,4 hours,215,Bi-monthly
431,1,Wednesday,4 hours,136,Quarterly
274,1,Thursday,4 hours,177,Monthly
1033,1,Friday,4 hours,152,Quarterly
432,1,Monday,4 hours,157,Bi-monthly
1228,1,Tuesday,4 hours,152,Quarterly
1831,1,Wednesday,4 hours,156,Monthly
815,1,Thursday,4 hours,241,Monthly
1783,1,Friday,4 hours,143,Bi-monthly
1332,1,Monday,4 hours,161,Quarterly
1683,1,Tuesday,4 hours,154,Bi-monthly
2020,1,Wednesday,4 hours,148,Bi-monthly
985,1,Thursday,4 hours,142,Quarterly
1356,1,Friday,4 hours,124,Bi-monthly
1172,1,Monday,4 hours,121,Quarterly
1759,1,Tuesday,4 hours,178,Bi-monthly
1345,1,Wednesday,4 hours,150,Quarterly
1951,1,Thursday,4 hours,152,Bi-monthly
654,1,Friday,4 hours,130,Quarterly
1804,1,Monday,4 hours,166,Quarterly
757,1,Tuesday,4 hours,129,Bi-monthly
1495,1,Wednesday,4 hours,241,Bi-monthly
242,1,Thursday,4 hours,166,Monthly
1379,1,Friday,4 hours,130,Quarterly
1601,1,Monday,4 hours,136,Bi-monthly
1536,1,Tuesday,4 hours,162,Bi-monthly
944,1,Wednesday,4 hours,342,Bi-monthly
1522,1,Thursday,4 hours,201,Bi-monthly
1489,1,Friday,4 hours,154,Bi-monthly
1249,1,Monday,4 hours,158,Quarterly
1430,1,Tuesday,4 hours,186,Bi-monthly
1984,1,Wednesday,4 hours,258,Monthly
1925,1,Thursday,4 hours,200,Quarterly
794,1,Friday,4 hours,130,Quarterly
1677,1,Monday,4 hours,195,Bi-monthly
1104,1,Tuesday,4 hours,139,Quarterly
763,1,Wednesday,4 hours,145,Quarterly
1950,1,Thursday,4 hours,198,Monthly
1350,1,Friday,4 hours,189,Quarterly
1271,1,Monday,4 hours,199,Quarterly
1428,1,Tuesday,4 hours,212,Bi-monthly
1651,1,Wednesday,4 hours,230,Bi-monthly
221,1,Thursday,4 hours,147,Bi-monthly
775,1,Friday,4 hours,371,Monthly
1451,1,Monday,4 hours,303,Bi-monthly
1453,1,Tuesday,4 hours,147,Bi-monthly
1714,1,Wednesday,4 hours,122,Bi-monthly
391,1,Thursday,4 hours,230,Monthly
1372,1,Friday,4 hours,206,Bi-monthly
1592,1,Monday,4 hours,127,Quarterly
519,1,Tuesday,4 hours,167,Bi-monthly
1437,1,Wednesday,4 hours,122,Bi-monthly
1295,1,Thursday,4 hours,210,Quarterly
1155,1,Friday,4 hours,159,Bi-monthly
