,Region,Region Name,Store,Store Name,Store Postcode,Small Trolley,Large Trolley,Total Trolleys,Trolleys (Y/N),Handheld Basket,Rollable Basket,Total Baskets,Baskets (Y/N),Frequency of Basket Clean,Total per Annum,Latitude,Longitude,Estimated Cleaning Time,Cleaning Time
357,260,Newton Aycliffe,67,DUR-Pity Me,DH1 5FA,26,42,68,Yes,0,82,82,Yes,Quarterly,4,54.8079863,-1.5773196,150.00,150
358,290,Enfield,1554,LON-Enfield Wash,EN3 6LZ,32,36,68,Yes,12,185,197,Yes,Monthly,12,51.67143738,-0.04084446,261.00,261
359,300,Bridgend,1208,Caerphilly,CF83 2AX,30,38,68,Yes,0,57,57,Yes,Bi-monthly,6,51.5711859,-3.2448037,125.00,125
360,340,Doncaster,1161,MAN-Newton Heath,M40 2JE,18,50,68,Yes,0,57,57,Yes,Bi-monthly,6,53.50179,-2.1816399,125.00,125
361,340,Doncaster,1400,Barnsley,S70 2RE,28,40,68,Yes,0,59,59,Yes,Bi-monthly,6,53.55207014,-1.48425412,127.00,127
362,430,Exeter,1199,BAR-Newport,EX32 8PB,43,25,68,Yes,5,50,55,Yes,Quarterly,4,51.07491765,-4.0448154,121.33333333333333,121
363,590,Peterborough,422,PET-Lime Kiln,PE3 9TA,38,30,68,Yes,65,0,65,Yes,Bi-monthly,6,52.5820178,-0.257134733,111.33333333333333,111
364,320,Southampton,399,AND-Western Avenue,SP10 1BS,26,43,69,Yes,10,65,75,Yes,Bi-monthly,6,51.2092739,-1.4825159,140.66666666666666,141
365,460,Avonmouth,2065,OXF-Templars Shopping Park,OX4 3JP,18,51,69,Yes,241,118,359,Yes,Bi-monthly,6,51.73263765,-1.21902795,347.66666666666663,348
366,490,Motherwell,981,DUN-Stobswell,DD4 6RX,18,51,69,Yes,0,37,37,Yes,Monthly,12,56.4712981,-2.9596762,106.00,106
367,490,Motherwell,1019,Bo'ness,EH51 9AW,22,47,69,Yes,0,78,78,Yes,Quarterly,4,56.0168623,-3.6027706,147.00,147
368,490,Motherwell,1087,DUN-Lochee,DD2 3EG,4,65,69,Yes,5,54,59,Yes,Bi-monthly,6,56.4725416,-3.0131755,126.33333333333333,126
369,590,Peterborough,1867,NOT-Beechdale,NG8 3LL,44,25,69,Yes,78,0,78,Yes,Bi-monthly,6,52.9602058,-1.1918906,121.00,121
370,600,Luton,575,Rugby,CV22 7DT,38,31,69,Yes,0,112,112,Yes,Bi-monthly,6,52.3660133,-1.2823633,181.00,181
371,220,Runcorn,731,STH-King Street,WA10 2JZ,20,50,70,Yes,0,60,60,Yes,Bi-monthly,6,53.4548869,-2.74105175,130.00,130
372,220,Runcorn,1798,Ormskirk,L39 2ZA,30,40,70,Yes,0,15,15,Yes,Quarterly,4,53.57190384,-2.88012338,85.00,85
